name,description,price,category,subcategory,collection,rating,brand,colors,reviews,product_id,tags,image_url
Whispering Willow Blouse,"Embrace the essence of serene countryside living with our Whispering Willow Blouse. Designed with soft, billowy sleeves and a delicate floral pattern, this piece invites a touch of nature's tranquility into your wardrobe. Perfect for a gentle day in the garden or a leisurely afternoon tea, its pastel color palette harmonizes beautifully with the peaceful outdoors.",59.99,Tops,Blouses & Shirts,Cottagecore,4.7,Loom & Aura,"['green', 'white']","['Feels like a dream to wear, so light and airy!', 'The floral pattern is subtle yet enchanting. Love it for my weekend getaways.']",7b2616d1-1c6e-4f0d-adcc-b0b9b04d1012,[],https://d3o574pyao1sq3.cloudfront.net/fashion/7b2616d1-1c6e-4f0d-adcc-b0b9b04d1012.png
Blossom Whisper Blouse,"This soft green blouse features delicate floral patterns, embodying the essence of a tranquil countryside morning. Crafted from light linen, it’s perfect for sunny garden strolls or cozy indoor afternoons.",58.0,Tops,Blouses & Shirts,Cottagecore,4.5,Loom & Aura,"['green', 'white']","['Absolutely in love with the floral design and the fabric feels so gentle on the skin.', ""The fit is perfect, airy and comfortable. It's my go-to top for a relaxed, yet romantic look.""]",46acb257-7c81-48bb-b012-daf879f2e0ba,['most loved'],https://d3o574pyao1sq3.cloudfront.net/fashion/46acb257-7c81-48bb-b012-daf879f2e0ba.png
Meadow Breeze Linen Blouse,"Embrace the essence of tranquility with our Meadow Breeze Linen Blouse. Designed with a loose fit and billowy sleeves, this piece captures the heart of countryside living. Its delicate buttons and fine lace detailing around the cuffs add a touch of romance, making it perfect for garden strolls or cozy afternoons with a book.",68.0,Tops,Blouses & Shirts,Cottagecore,4.8,Echo & Stitch,"cream,green","['Absolutely in love with the soft material and the fit!', 'The lace detailing is so pretty and delicate. Perfect for a soft, romantic look.']",c743b0a7-3643-4e31-beda-c36dbddc7cc5,[],https://d3o574pyao1sq3.cloudfront.net/fashion/c743b0a7-3643-4e31-beda-c36dbddc7cc5.png
Meadow Flower Blouse,"Embrace the essence of serene countryside mornings with our Meadow Whisper Blouse. Crafted from the softest linen, this piece features delicate floral embroidery on a cream base, embodying the simplicity and beauty of rural life. The relaxed fit and breathable fabric ensure comfort while you enjoy your garden or a peaceful outdoor retreat.",58.0,Tops,Blouses & Shirts,Cottagecore,4.8,Loom & Aura,"['cream', 'green']","[""Absolutely in love with this blouse! It's so comfortable and perfect for a day out in the countryside."", 'The floral embroidery is stunning and the fabric is incredibly soft. Highly recommend!']",a9d90f7d-7f22-4bea-833f-63335e777404,[],https://d3o574pyao1sq3.cloudfront.net/fashion/a9d90f7d-7f22-4bea-833f-63335e777404.png
Whispering Meadow Blouse,"Embrace the essence of tranquil countryside mornings with our Whispering Meadow Blouse. This piece features delicate floral patterns on a cream background, offering a touch of nature's serenity. Crafted with lightweight fabric, it's perfect for a day spent among the flowers or a quiet afternoon with a good book.",58.0,Tops,Blouses & Shirts,Cottagecore,4.8,Loom & Aura,"['green', 'white']","['Feels like a soft breeze on the skin. Absolutely stunning.', 'The floral pattern is so delicate and beautiful. Love the fit!']",b5826803-378f-4f73-b0af-22f9ce6854e2,[],https://d3o574pyao1sq3.cloudfront.net/fashion/b5826803-378f-4f73-b0af-22f9ce6854e2.png
Whispering Breeze Cardigan,"Embrace the essence of countryside charm with our Whispering Willow Cardigan. Crafted from the softest yarns, this piece features delicate floral embroidery on a palette of cream, accented with subtle green. Perfect for layering over your favorite spring dress or adding a touch of warmth on a breezy evening.",59.99,Outerwear,Sweaters & Cardigans,Cottagecore,4.8,Loom & Aura,"['green', 'cream']","[""The most beautiful cardigan I've ever owned."", 'So cozy and perfectly fits the cottagecore aesthetic!', 'Absolutely in love with the embroidery details.']",199c4d93-6567-478b-be1a-5bffbd695871,['sale'],https://d3o574pyao1sq3.cloudfront.net/fashion/199c4d93-6567-478b-be1a-5bffbd695871.png
Cozy Willow Cardigan,"Embrace the serene bliss of countryside living with our Whispering Willow Cardigan. Crafted from the softest yarns, this cardigan features delicate floral patterns interwoven with pastel greens and creams, making it a perfect layer for breezy evenings. The loose fit ensures comfort, while the subtle earth tones reflect the tranquil beauty of nature.",75.0,Outerwear,Sweaters & Cardigans,Cottagecore,4.8,Loom & Aura,"['green', 'white']","[""The coziest cardigan I've ever owned! Feels like a warm hug."", 'Perfect for chilly mornings in the garden. The floral pattern is absolutely beautiful.', 'In love with the soft colors and the quality of the knit. Highly recommend!']",db983139-04c9-40ac-81c0-f01da6a16242,[],https://d3o574pyao1sq3.cloudfront.net/fashion/db983139-04c9-40ac-81c0-f01da6a16242.png
Cozy Green Cardigan,"Embrace the essence of serene countryside mornings with our Whispering Willow Cardigan. Crafted from the softest blend of materials, this piece features delicate button detailing and a subtle, earthy green hue. Perfect for layering over your favorite dresses or pairing with a simple linen apron for a touch of rustic charm.",59.99,Outerwear,Sweaters & Cardigans,Cottagecore,4.8,Loom & Aura,['green'],"[""Absolutely adore this cardigan! It's so comfy and perfect for my garden strolls."", 'The color and fit are just dreamy. It feels like a warm hug on a cool day.']",bda52130-a070-492d-be0c-0377bed28015,[],https://d3o574pyao1sq3.cloudfront.net/fashion/bda52130-a070-492d-be0c-0377bed28015.png
Soft Embrace Cardigan,"Embody the essence of serene countryside living with our Soft Embrace Cardigan. Crafted from the finest yarns, this piece features delicate pastel hues intertwined with cream accents, creating a cozy yet elegant garment. Perfect for layering over your favorite dresses or pairing with a linen apron for a day spent in the garden.",85.0,Outerwear,Sweaters & Cardigans,Cottagecore,4.8,Loom & Aura,cream,"['This cardigan is the epitome of comfort and style. Absolutely adore the pastel colors!', 'Perfect for chilly mornings in the garden. The quality is top-notch and it fits beautifully.']",f71e60f5-32b0-4cf1-b9cb-922f92fe5259,[],https://d3o574pyao1sq3.cloudfront.net/fashion/f71e60f5-32b0-4cf1-b9cb-922f92fe5259.png
Soft Pastel Knit Cardigan,"This cozy knit cardigan, crafted with soft pastel hues and featuring delicate buttons, exudes a sense of warmth and simplicity. Ideal for layered looks or a gentle touch of warmth on a breezy day.",89.99,Outerwear,Sweaters & Cardigans,Cottagecore,4.5,Loom & Aura,"cream,green","[""Absolutely adore this cardigan! It's like wrapping yourself in a warm, stylish hug."", 'The perfect piece for my cottagecore collection. Love the pastel colors.']",1202d647-51bc-44fd-a77e-04a9dc1464d8,[],https://d3o574pyao1sq3.cloudfront.net/fashion/1202d647-51bc-44fd-a77e-04a9dc1464d8.png
Pastel Dream Cardigan,"Embrace the gentle touch of nature with our soft green, knitted cardigan. Adorned with delicate cream-toned buttons, it's the perfect layering piece for a stroll through the countryside or a cozy afternoon at home.",59.99,Outerwear,Sweaters & Cardigans,Cottagecore,4.5,Echo & Stitch,"['green', 'cream']","[""The coziest cardigan I've ever owned."", 'Absolutely beautiful, and the fit is perfect.']",9e29a526-49bf-4edc-b36a-8030c851764b,[],https://d3o574pyao1sq3.cloudfront.net/fashion/9e29a526-49bf-4edc-b36a-8030c851764b.png
Soft Breeze Linen Tank,"Embrace the essence of quaint countryside charm with our Soft Breeze Linen Tank. Crafted from the finest linen in a delicate cream hue, this tank features a subtle floral lace trim that whispers tales of sunlit gardens and leisurely afternoons. Its relaxed fit ensures comfort, whether you're tending to your garden or savoring a book by the fireplace.",28.5,Tops,Tank Tops,Cottagecore,4.8,Loom & Aura,['cream'],"['Absolutely in love with the quality and feel of this tank!', 'The floral lace detail is just gorgeous and very well-made.', ""So comfortable and flattering, I've worn it countless times already!""]",9c6abc2e-9e2d-4d25-b08c-afe754d8863c,[],https://d3o574pyao1sq3.cloudfront.net/fashion/9c6abc2e-9e2d-4d25-b08c-afe754d8863c.png
Sunlit Bloom Tank,"Embrace the tranquil essence of countryside bliss with our Sunlit Bloom Tank. Crafted from the softest linen for a comfortable, breathable fit, this piece is adorned with delicate, cream floral patterns. A perfect harmony of elegance and simplicity, it's your ideal pick for serene summer days.",42.0,Tops,Tank Tops,Cottagecore,4.8,Loom & Aura,"['cream', 'green']","['Feels like a soft embrace, absolutely in love with the quality!', 'The floral pattern is so elegant and understated. Perfect for my summer wardrobe.']",17037f32-9874-45d2-bc79-2326bc43e182,[],https://d3o574pyao1sq3.cloudfront.net/fashion/17037f32-9874-45d2-bc79-2326bc43e182.png
Soft Earth Denim,"Embrace the simplicity and warmth of rural life with our soft earth-toned jeans, featuring a comfortable, relaxed fit and subtly embroidered with delicate floral accents. Perfect for gardening, afternoon strolls, or cozy days indoors.",65.0,Bottoms,Jeans,Cottagecore,4.8,Loom & Aura,"['green', 'cream']","[""The most comfortable jeans I've ever owned. The floral embroidery is a beautiful touch!"", 'Love the fit and the soft colors. Perfect for my cottagecore aesthetic.']",22245715-8170-4dea-a672-ed4c2c86b786,[],https://d3o574pyao1sq3.cloudfront.net/fashion/22245715-8170-4dea-a672-ed4c2c86b786.png
Rustic Charm Soft Denim,"Embrace the simplicity of countryside charm with our Rustic Charm Soft Denim Jeans. Designed for comfort and style, these jeans feature a high-waist cut with a gently faded cream and soft green color palette. The relaxed fit ensures ease of movement, making them perfect for your garden strolls or leisurely weekend outings. Detailed with subtle floral embroidery near the pockets, these jeans bridge the gap between functionality and delicate beauty.",68.0,Bottoms,Jeans,Cottagecore,4.7,Loom & Aura,"green, cream","['These jeans are the epitome of comfort and style. Absolutely in love with the fit!', 'The subtle embroidery is such a lovely touch. Perfect for a soft, countryside vibe.']",54a7e803-4cb9-43be-a20b-a4ef35e025d3,[],https://d3o574pyao1sq3.cloudfront.net/fashion/54a7e803-4cb9-43be-a20b-a4ef35e025d3.png
Soft Breeze Denim Trousers,"Embrace simplicity and nostalgia with these soft green denim trousers, designed for comfort and style. Tailored for a relaxed fit, they feature delicate cream stitching, evoking the essence of serene countryside living. Perfect for a leisurely day in the garden or a quaint afternoon tea.",65.0,Bottoms,Jeans,Cottagecore,4.5,Canvas & Co.,"['green', 'white']","['These jeans are the epitome of comfort and style! Absolutely in love with the fit.', 'The color is so unique and pairs beautifully with a simple blouse. Canvas & Co. never disappoints.']",25d10da1-588e-4c0e-8e6c-2f71a905eb4c,[],https://d3o574pyao1sq3.cloudfront.net/fashion/25d10da1-588e-4c0e-8e6c-2f71a905eb4c.png
Rustic Charm Denim,"Embrace the serenity of countryside living with our soft, light blue jeans, featuring delicate floral embroidery along the pockets. Tailored for comfort with a hint of stretch, these pants celebrate simplicity and the beauty of nature.",65.99,Bottoms,Jeans,Cottagecore,4.7,Nova Nest,blue,"['Absolutely in love with the floral details!', 'So comfortable and perfect for a soft, pastoral look.', 'The fit is amazing, and the embroidery adds a lovely touch.']",a06eb5f4-e38e-49fb-ba0e-e910f38c1332,[],https://d3o574pyao1sq3.cloudfront.net/fashion/a06eb5f4-e38e-49fb-ba0e-e910f38c1332.png
Rustic Charm Soft Linen Trousers,"Embrace the essence of countryside bliss with these soft linen trousers, designed for serene comfort and timeless elegance. Perfect for garden strolls or leisurely weekends, these pants feature a relaxed fit that combines classic style with the ease of rural living.",68.0,Bottoms,Trousers & Pants,Cottagecore,4.6,Canvas & Co.,"['green', 'white']","['Absolutely adore these trousers! So comfortable and stylish.', 'The perfect pants for a relaxed, yet chic look. Love the green shade!']",ac114c7a-9f9d-40e9-b600-0fb6b48dbbc0,['new in'],https://d3o574pyao1sq3.cloudfront.net/fashion/ac114c7a-9f9d-40e9-b600-0fb6b48dbbc0.png
Rustic Charm Denim,"Embrace the essence of countryside simplicity with our Rustic Charm Denim. Designed for the lover of tranquil living, these jeans feature a classic, soft-blue hue paired with a bellbottom fit. Tailored from breathable cotton, they promise comfort whether you're tending to your garden or enjoying a serene walk through the fields. With subtle embroidery of natural elements, these jeans are a tribute to the beauty of rural life.",65.0,Bottoms,Jeans,Cottagecore,4.8,Loom & Aura,['blue'],"['The perfect blend of comfort and style. Feels like wearing a piece of nature.', ""Absolutely love the fit and the subtle embroidery details. It's like a breath of fresh air for my wardrobe."", 'These jeans take me back to simpler times. So comfortable and perfectly matched with a knitted cardigan.']",0a409ad6-01fd-4f08-9c6c-702e3e932d95,[],https://d3o574pyao1sq3.cloudfront.net/fashion/0a409ad6-01fd-4f08-9c6c-702e3e932d95.png
